策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题3_固定价_八时点代理,2025-06-08,62863.66013858024,66248.70145128165,6336.768546852469,2951.727234151065,4413.098433814418,1831.1588173971068,36890.47907062741,7117.479352879663,16260.28540461556,60268.24382812263
问题3_固定价_八时点代理,2025-06-09,71648.0713797109,71731.94747352907,4142.888407715864,4059.012313897688,4776.306437897211,1452.3961202944824,43103.507801105276,3840.1778019514263,18548.159621604504,65491.84522466121
问题3_固定价_八时点代理,2025-06-10,65598.02464677641,72630.99437920342,7322.491872372062,289.52213994504643,4940.865311636452,1661.2377916309233,38956.71494296894,8016.598645543512,17589.42421858597,64562.73780709842
问题3_固定价_八时点代理,2025-06-11,71392.69365283333,77823.4836194949,6461.801912561348,31.011945899769216,4573.369576694266,1894.3778233693308,43405.862355526064,7744.474688940377,17131.60681259892,68281.94385706536
问题3_固定价_八时点代理,2025-06-12,69493.18315287243,74079.89138056737,4812.980761173138,226.27253347819482,3930.734372539237,1403.2768575983055,41800.76113296254,5864.855786234478,14953.886418377499,62619.50333757452
问题3_固定价_八时点代理,2025-06-13,28163.048116666665,34806.119025669526,6643.070909002862,0.0,3832.0391920541656,7267.419645971153,14384.793162395556,7204.353931146531,14525.328659027744,36114.47575256983
问题3_固定价_八时点代理,2025-06-14,28149.097199999997,33092.76519412237,4943.667994122367,0.0,4839.2655256422,8713.785903099953,14617.71303052361,5882.359251790505,17858.84167126468,38358.9139535788
问题3_固定价_八时点代理,2025-06-15,64295.64564084361,72586.81342604988,8319.943078261815,28.775293055555267,3743.5705715497993,1427.370659133722,38688.085010583585,8356.291282679958,14044.170480080795,61088.54677334434
问题3_固定价_八时点代理,2025-06-16,67775.97278199588,74744.16378417988,6989.8903433783835,21.69934119437653,4389.2292209586685,2137.1396046235714,40580.68035436077,7509.322191459449,17157.89762494146,65247.90017076168
问题3_固定价_八时点代理,2025-06-17,69501.37461882715,75844.56391045648,6366.668539204797,23.479247575472982,4446.033645950523,1318.2687502208448,42026.743449988935,6894.482120309644,17062.135729830876,65983.36130012946
问题3_固定价_八时点代理,2025-06-18,70116.61627750342,74037.3800788193,5061.157737101769,1140.393935785888,3578.779873817366,2587.6766556410116,42019.462081519974,5431.978858057628,13649.414681862321,61100.85562143992
问题3_固定价_八时点代理,2025-06-19,65936.04281666665,70481.02235895339,7059.401664737899,2514.422122451168,3930.9655964057474,1961.2727894095547,39297.002184475554,7168.551660918208,14931.39959160488,61396.95343699864
问题3_固定价_八时点代理,2025-06-20,28687.755758333333,31948.09803783785,3260.3422795045212,0.0,3036.360027096535,9612.248018700071,15096.948799025,3695.0905245586214,11470.716114110259,30262.75543769388
问题3_固定价_八时点代理,2025-06-21,28697.18483333333,31810.27831285551,3113.0934795221788,0.0,3053.9065782852626,12588.451558243647,14894.55948080361,3382.1132479783837,11199.46457946717,29476.137308249163
问题3_固定价_八时点代理,2025-06-22,64613.47760973937,68108.78154247534,5166.373916381974,1671.0699836460121,4405.533545227989,1388.59832858722,38325.83399681465,5737.698885661651,17114.493523077974,61178.02640555427
问题3_固定价_八时点代理,2025-06-23,65784.31469907406,69607.5046025571,3823.1899034830294,0.0,3090.749553964899,1566.2962170801138,39764.95426950561,4526.032246254445,12667.793471039004,56958.779986799054
问题3_固定价_八时点代理,2025-06-24,77271.56405867626,78757.48186641044,3321.977071964326,1836.0592642301503,3645.454281476968,1703.6886396579143,47349.841525179996,3243.605930896937,12924.835181850238,63518.282637927165
问题3_固定价_八时点代理,2025-06-25,68196.55057596022,73350.44015600855,5153.88958004833,0.0,3241.114600429335,2215.300763214498,40528.72699188763,6203.726511640537,13455.33798162607,60187.79148515424
问题3_固定价_八时点代理,2025-06-26,64982.10035833333,71148.44722124505,6166.346862911721,0.0,3023.2483646903797,2699.759889240803,39642.02350819444,5736.469505904074,11790.083264996629,57168.57627909514
问题3_固定价_八时点代理,2025-06-27,30521.199933333333,32237.87228367451,2036.48769057115,319.8153402299737,3110.9318210086763,12734.784399466635,16209.695814756113,2174.4833732274183,12688.43872750939,31072.61791549292
问题3_固定价_八时点代理,2025-06-28,29622.548791666664,31839.02177308066,2216.4729814139964,0.0,2170.044580087471,9192.140236501467,15804.258838007221,2623.421820528538,7037.4067186486445,25465.087377184405
问题3_固定价_八时点代理,2025-06-29,65716.392925,71635.05570188907,5948.441286671008,29.778509781945104,3363.386041947861,1732.931005202824,39521.96056846917,6250.134310802723,11764.953101091558,57537.047980363444
问题3_固定价_八时点代理,2025-06-30,71553.46074452468,72153.73156605406,910.0103206441928,309.73949911481424,3550.8875798412237,1686.9998862536052,43434.30506426919,1103.0202566167843,13518.40848984693,58055.733810732905
问题3_固定价_八时点代理,2025-07-01,61754.82625411522,77931.69716032036,16176.87090620513,0.0,6577.198193643425,1556.3952525286008,37265.92085964997,17831.139214239232,20875.52829038076,75972.58836426996
问题3_固定价_八时点代理,2025-07-02,57602.4922425583,70784.14642683267,13181.654184274377,0.0,7090.353127441488,1054.5155606671847,35819.69582917303,12983.075558596422,25255.048926457792,74057.82031422725
问题3_固定价_八时点代理,2025-07-03,66265.26025946501,79555.58185551577,13290.321596050766,0.0,6489.648980534357,2125.0947744693644,40253.354431733576,14773.171371531027,21243.27791487214,76269.80371813674
问题3_固定价_八时点代理,2025-07-04,28870.8756,37974.88007997647,9104.004479976475,0.0,6192.662613726381,12312.849266487181,15090.842574541386,10167.338500287546,21606.68414843474,46864.865223263674
