策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题4-3_波动价,2025-02-25,79814.69675133744,71314.21498163795,0.0,8500.481769699494,1532.5444135297034,2975.027297857765,51576.76712705911,-3296.245614912788,7100.551677590439,55381.07318973676
问题4-3_波动价,2025-02-26,73754.57634053497,74290.7262346313,909.675825939939,373.5259318436166,1305.9129266872003,2482.561560009108,47294.628541375896,780.6249704919724,6542.488213718903,54617.74172558677
问题4-3_波动价,2025-02-27,75225.79106543209,73003.3479708346,0.0,2222.4430945974887,1193.1052728818381,2903.2207723442516,47575.945448480634,-832.0642689208333,6281.735899494433,53025.61707905424
问题4-3_波动价,2025-02-28,35302.56437777779,34599.36448229674,0.0,703.1998954810458,986.4744161516035,8647.789762698245,13916.931430440554,-254.0738104908305,3779.271445816894,17442.129065766618
问题4-3_波动价,2025-03-01,39478.04154046399,36558.512831105036,0.0,2919.528709358965,876.03472472044,10308.008399478898,15508.686498289107,-630.3464787033039,3564.0692003299655,18442.409219915768
问题4-3_波动价,2025-03-02,83680.33483755143,79992.87410693402,0.0,3687.460730617422,1427.4199513107637,4355.500331962335,54846.006601904985,-1605.4828953368662,7184.701299532686,60425.22500610081
问题4-3_波动价,2025-03-03,85810.82590596707,77355.45183725252,178.04589456888255,8633.419963283428,1917.1117380930527,2832.263257656062,56494.197633513904,-3176.5705602642893,9305.260387907045,62622.88746115666
问题4-3_波动价,2025-03-04,76566.96822352537,75031.39005221358,0.0,1535.578171311789,2015.4519110556876,3435.91404843707,49299.38454313329,-741.188746480487,9149.834392391698,57708.0301890445
问题4-3_波动价,2025-03-05,80363.70115833332,71627.59908068934,0.0,8736.102077643985,2085.7836375326683,3402.317474878777,50939.49211842416,-3398.2872359740118,9764.602353874254,57305.80723632441
问题4-3_波动价,2025-03-06,75776.71071293621,72436.85844542288,0.0,3339.852267513325,1264.791790575086,3493.1038314749417,47813.793050215085,-1358.679669159379,5982.90213551839,52438.0155165741
问题4-3_波动价,2025-03-07,35534.7449638203,33624.69522518233,0.0,1910.0497386379704,2125.740769556382,11535.985217226551,14092.894966004735,-610.8113911398226,6754.072780783949,20236.15635564886
问题4-3_波动价,2025-03-08,34044.39471131686,33662.40384006978,125.94721611849815,507.938087365579,608.6770143204608,11562.191860036346,13217.7643350988,-52.88701548954722,2181.4429905065504,15346.320310115803
问题4-3_波动价,2025-03-09,78616.00982636213,69084.00752742795,0.0,9532.002298934185,1308.4488453662052,2852.541306510038,48838.17641889948,-3275.9333036116923,6125.8385979055165,51688.0817131933
问题4-3_波动价,2025-03-10,75633.42939660905,73408.69852407488,0.0,2224.7308725341663,1975.75870766582,3075.0813542636224,48328.42362085138,-901.1074272242403,8371.716831033718,55799.03302466086
问题4-3_波动价,2025-03-11,66802.9191754801,70198.54595149036,3500.1349003144005,104.50812430414737,1530.8517299527198,3543.890638366659,41477.63919609848,3219.7043730469213,7214.275773685468,51911.61934283087
问题4-3_波动价,2025-03-12,76531.02301591769,67587.49944686207,0.0,8943.523569055622,1459.734171767338,2509.7810098900145,47573.77608513217,-3170.3729224082904,6581.951069050994,50985.35423177487
问题4-3_波动价,2025-03-13,76636.5388743827,73560.36537381167,0.0,3076.173500571031,1355.8468748222383,3256.3242136688846,48719.017108502645,-1308.1077117952946,6671.5814829828305,54082.49087969019
问题4-3_波动价,2025-03-14,33358.43674444446,33394.87048147577,94.92355919130421,58.489822159987966,1058.4219604800674,14645.76753816593,12288.5496300875,68.9195385800376,3679.290825927158,16036.759994594695
问题4-3_波动价,2025-03-15,32223.68170414952,32358.946729882005,149.46181765305255,14.19679192056725,1067.5866920636688,9167.30236225203,12506.192431082667,187.25676286880815,3956.9744679399605,16650.423661891436
